0122_z10um_100step_sqrt_TW_freq 	 0122_z10um_100step_amp 	 0122_z10um_100step_amp_sigma 	 0122_z10um_100step_theta 	 0122_z10um_100step_theta_sigma 	 0122_z10um_100step_DCV 	 0122_z10um_100step_DCV_sigma 	 0122_z10um_100step_decay_ratio 
1.97761541E+1	9.53957845E-7	8.70544881E-9	-2.01470270E+0	1.55930526E-2	0.00000000E+0	0.00000000E+0	-1.08781695E+1
1.99735801E+1	6.84614417E-7	1.46500241E-9	-2.08666206E+0	6.33707043E-3	0.00000000E+0	0.00000000E+0	-1.11999996E+1
2.02210061E+1	7.10134878E-7	3.72473695E-9	-1.77920031E+0	3.43086013E-3	0.00000000E+0	0.00000000E+0	-1.11510889E+1
2.04184320E+1	7.98829320E-7	4.00313476E-9	-2.25442041E+0	3.04895870E-3	0.00000000E+0	0.00000000E+0	-1.10236805E+1
2.06158579E+1	6.86211508E-7	5.44493508E-9	-2.11532227E+0	1.42446210E-2	0.00000000E+0	0.00000000E+0	-1.11660194E+1
2.08132839E+1	7.09668826E-7	1.66856227E-9	-2.05837693E+0	2.56767081E-2	0.00000000E+0	0.00000000E+0	-1.11228760E+1
2.10107098E+1	5.51962968E-7	3.82375934E-9	-1.89753133E+0	2.38781326E-2	0.00000000E+0	0.00000000E+0	-1.13647526E+1
2.12552762E+1	6.37322832E-7	3.07987348E-9	-2.24659329E+0	1.61316188E-2	0.00000000E+0	0.00000000E+0	-1.12093844E+1
2.14527022E+1	6.58561812E-7	7.66871985E-10	-2.26646215E+0	1.08470456E-2	0.00000000E+0	0.00000000E+0	-1.11673568E+1
2.16501281E+1	5.15089636E-7	5.49759104E-9	-2.12758177E+0	5.91174042E-3	0.00000000E+0	0.00000000E+0	-1.14039135E+1
2.18475541E+1	5.14741500E-7	2.80530562E-9	-2.04617932E+0	3.52642403E-2	0.00000000E+0	0.00000000E+0	-1.13955120E+1
2.20449800E+1	4.77706160E-7	1.18333021E-9	-2.00308457E+0	3.46598068E-2	0.00000000E+0	0.00000000E+0	-1.14611851E+1
2.22424059E+1	6.29158579E-7	7.22465101E-9	-2.24839116E+0	4.87739777E-3	0.00000000E+0	0.00000000E+0	-1.11768819E+1
2.24845533E+1	5.44263191E-7	8.04487541E-9	-2.26257387E+0	2.82903148E-3	0.00000000E+0	0.00000000E+0	-1.13110043E+1
2.26819792E+1	3.60129181E-7	6.72641724E-9	-2.07782940E+0	1.93036863E-2	0.00000000E+0	0.00000000E+0	-1.17152323E+1
2.28794052E+1	4.28675877E-7	1.29927370E-8	-2.34395106E+0	1.51371162E-3	0.00000000E+0	0.00000000E+0	-1.15323276E+1
2.30768311E+1	4.52970773E-7	5.19731941E-9	-2.39321767E+0	1.38285177E-2	0.00000000E+0	0.00000000E+0	-1.14686091E+1
2.32742570E+1	3.23083784E-7	3.03223528E-9	-2.20621521E+0	1.94742642E-2	0.00000000E+0	0.00000000E+0	-1.17980063E+1
